ngay;nhietdocaonhat;nhietdothapnhat;nhietdotrungbinh;doamcaonhat;doamthapnhat;doamtrungbinh;giolonnhat;giothapnhat;giotrungbinh;huonggiotheodo;bucxamattroi;mua;luongmua
312;3.069.665;2.377.665;26.895.815;9.665.184;657.299;833.795;9.290.511;3.396.233;56.296.086;312.005;4422;0;0
313;30.516.651;23.346.651;2.636.332;94.845;53.874.115;7.444.762;12.879.752;45.820.518;8.060.422;32.286.774;4841;0;0
314;2.827.665;2.222.665;24.881.233;9.273.407;6.395.349;824.779;13.896.187;53.999.996;9.011.813;32.737.396;3492;1;2
315;2.466.665;2.171.665;23.177.483;9.668.303;7.767.844;8.952.276;17.643.673;28.799.999;9.686.385;28.010.303;970;1;31.900.002
316;3.064.665;2.168.665;25.947.899;9.684.739;5.773.217;8.175.306;6.696.387;0.71999997;37.724.295;11.729.957;5341;0;0
317;3.062.665;2.349.665;26.457.487;9.652.346;7.043.656;857.931;84.963.045;3.96;6.084.843;119.125.885;4662;1;15.000.001
318;3.164.665;2.339.665;27.189.566;9.723.569;56.577.335;7.961.625;10.464.797;1.835.647;58.529.973;25.304.932;5551;1;0.2
319;3.060.665;2.163.665;26.029.154;9.437.831;5.632.354;7.352.408;9.726.665;1.08;49.805.746;3.327.447;5548;0;0
320;3.133.665;2.302.665;26.960.398;95.872.635;6.465.907;8.165.076;6.12;0;33.698.704;21.825.443;5086;1;0.2
321;30.926.651;2.396.665;27.243.317;9.333.193;6.322.108;8.272.603;7.342.588;19.386.592;42.901.955;27.093.918;4807;1;12.000.002
322;3.156.665;2.478.665;27.161.234;9.442.382;6.413.358;8.217.295;10.464.797;0.71999997;48.767.276;135;4398;1;0.3
323;3.166.665;2.336.665;27.113.314;9.534.022;60.207.996;7.935.197;6.519.877;0.5091169;38.095.644;12.730.255;5226;0;0
324;3.114.665;2.253.665;26.359.985;9.265.667;58.149.734;745.778;72.805.495;1.08;4.910.564;34.540.344;5819;0;0
325;3.152.665;22.426.651;26.414.984;90.659.615;56.367.573;7.521.546;8.287.822;12.979.984;5.210.257;16.269.653;5120;0;0
326;3.146.665;2.273.665;2.641.623;8.837.242;56.956.863;7.466.372;78.954.163;1.08;53.224.874;35.033.133;5794;0;0
327;31.346.651;2.243.665;26.318.316;9.264.573;5.732.089;7.902.933;11.183.201;1.835.647;4.759.814;61.782.646;5044;0;0
328;3.174.665;2.402.665;27.555.819;9.332.149;63.252.716;8.232.841;50.911.684;10.182.338;3.172.472;104.364.586;5294;1;1.8
329;3.279.665;2.469.665;278.154;9.419.421;53.100.925;7.634.747;9;14.399.999;5.877.664;35.538.367;5430;0;0
330;3.181.665;2.440.665;27.854.986;8.907.177;58.749.947;745.535;10.464.797;0;55.348.687;5.392.752;5525;0;0
331;3.253.665;2.413.665;27.927.485;97.175.064;58.305.088;77.463.264;7.386.582;14.399.999;40.669.217;3.347.595;4923;0;0
